Gene	Hyb15	Hyb16	Hyb17	Hyb18	Hyb19	Hyb20	Hyb21	Hyb23	Hyb26	Hyb27	Hyb28	Hyb30	Hyb31	Hyb38	Hyb39	Hyb40	Hyb45	Hyb46	Hyb49	Hyb57	Hyb59	Hyb68	Hyb69	Hyb78	Hyb79	Hyb80	Hyb81	Hyb82
LRIG2	7.563783792609601	7.493801365227738	7.632082565653002	7.542352260052501	7.5117997394986755	7.689667290749421	7.570801755732939	7.332129485079433	7.692128725965777	7.674910862786001	7.5913308451365	7.429230931515705	7.636350104569553	7.767935035650659	7.663683603285468	7.5687574828149	7.667580592555457	7.535341162294341	7.473958279771187	7.363448915830856	7.522963247045134	7.383981865885105	7.479181941351889	7.626661659978055	7.624039130080799	7.26509279765256	7.409480466394173	7.505103004348966
PSMC3IP	6.963810330121458	6.666609228357613	6.5787381958088105	6.685480653169861	6.733327387466822	6.594703383486266	6.6508515848145	6.696346409937052	6.670465836472464	6.683857983689991	6.646261401595728	6.627494927602107	6.757755760365873	6.8215527336614326	6.857343100689462	6.565621344351376	6.6303563589747085	7.413591874382771	6.843399121682928	7.068819338897792	6.8577036248386465	6.927736280848384	6.866123654775819	6.753880118520694	7.00649937179952	6.448365237750583	6.658793857866472	7.325493520223534
H4C3	11.267931323470911	11.037158438813446	11.12646101297025	11.714123431607986	11.998856265460589	12.214155951175108	11.440217009135257	11.11842285020227	11.589951868138623	11.479214394572962	11.651479274747196	11.47536685727516	11.994326045031915	11.33784124628654	11.427566303938526	11.503717842741487	11.389493285154655	11.343410281092932	11.969074424972083	11.52353548160619	11.94166363210126	11.804600991090494	11.86662762060301	11.451621476084808	11.174494030710097	11.131718502474918	11.132578576994868	11.497037974229071
FASTKD2	6.322692591295702	6.420533879345122	6.29028735523795	6.7203709106507	6.578750485481765	6.830848325583207	6.681216995605074	6.353391138181088	6.902341028971705	6.690204093321139	6.884342540633376	6.420161231213833	6.89978147659854	6.58131365481293	6.521780236236741	6.527941173725583	6.604581781205308	6.594217656882516	7.022626419061877	6.7048345271724825	7.013219551400795	6.3993347989253	6.7774647236540915	6.58820514701105	6.5972286438318974	6.275655464720124	6.282962367335261	6.556699641168208
SCGB2A1	9.922145857474888	9.864707064553633	9.296241795282514	9.535008126768352	10.37600565313289	9.437422037640571	8.670660756793701	9.383073830701957	8.835829588971457	9.199700852064906	9.516196947129693	10.675901293757333	9.570723903594612	10.120379648465496	10.172631961788976	9.726556774126143	9.131658091889676	10.619179953481671	10.409649278951676	9.872319448489588	10.769510191709022	10.114119429739624	9.60044867466154	9.583182933541968	9.442746392934469	7.888126868184832	9.69192551490421	7.419103853525037
PRR5	6.4160822437712355	6.330373163911993	6.350620866826027	6.570045131020273	6.475070358270885	6.728838777595338	6.731650679091161	6.444394861554929	6.397904415528967	6.397231692852632	6.45327903024069	6.473486599729587	6.957252296404621	6.451116566851039	6.4201418443619005	6.336450252307846	6.742231385156631	6.674192157936798	6.483376451018458	6.272811604601636	6.324777002662913	6.473498102884196	6.5203367007462285	6.775875828908199	6.7569260260636135	6.615923956013618	6.380262522785919	7.015053903565723
ING2	8.159649529522747	7.922405537148388	8.025566115260315	8.485174058658048	8.15674295268324	8.452028730506305	8.544727166630505	8.193544440447495	8.306159693958287	7.864062222046945	8.130320385773627	8.306935411730851	8.528683602202252	8.19481391037825	8.25736226022893	8.067658387452656	7.840840695458354	8.337882849546766	8.702402242236857	8.215008152544101	8.060319769055571	8.412050146790142	8.702447363825318	8.321354053868662	8.113005749421898	7.914411755417919	7.990783107948212	8.014300477749233
WNT5A	9.472824607920469	9.710393301277085	10.397525861812849	9.957915017890542	9.588536961345138	10.20023324813974	9.33476474246654	8.958217604069029	9.60836072113496	9.638677561493068	9.84791325005953	9.078268428971072	9.705745249736514	9.443736369399993	9.610445853137705	9.281754555492718	10.1460575652677	9.408341255966524	9.71304776676486	9.120112305532317	9.627244294175668	9.217991002959147	9.351169336619376	10.205312827731875	8.989848143432837	8.423843016446291	8.429278448443117	9.49549596297354
PRRX1	7.478203490214199	7.046106383724164	7.396337406206573	6.281262220214124	6.73017691264871	6.370782188365291	6.113938998695698	6.220808718084069	6.759283880969565	7.21980408380504	6.980053126332963	7.134315325677361	6.502115310760231	6.391825786572782	6.792018742630074	7.316266039887677	7.071060699222795	5.91211650326517	6.320789697962232	6.189829149406286	6.92811410002183	6.528668257181157	5.784770766947477	5.922936940056353	7.10044154044301	7.241283991614725	7.467402848143802	7.536432737971187
IL15	6.01536567526882	5.673387722402364	5.687077932750199	6.186873225568643	6.3507931120245456	6.142341623118611	7.020519219840587	7.041916352392878	7.33812017458792	6.720457116938093	7.200988694812795	5.6489389529373994	5.732095351786341	6.146536097455276	6.3194504776278	6.566553925900427	6.103561378195803	6.222248191645325	6.052807789817235	6.0822554420310535	6.025678027266155	5.803508409812702	5.778829468115924	6.4771287709488234	6.114772543630325	6.333452768530462	5.939005594217915	6.113372861859322
